trip_stop_id,trip_id,station_id,stop_order,arrival_time,departure_time,arrival_day_offset,departure_day_offset
1,1,4145,0,19:54:00,19:54:00,0,0
2,1,4154,1,19:59:00,19:59:00,0,0
3,2,4154,0,17:34:00,17:34:00,0,0
4,2,4145,1,17:39:00,17:39:00,0,0
5,3,4154,0,17:33:00,17:33:00,0,0
6,3,4145,1,17:38:00,17:38:00,0,0
7,4,4154,0,17:23:00,17:23:00,0,0
8,4,4145,1,17:28:00,17:28:00,0,0
9,5,4154,0,22:10:00,22:10:00,0,0
10,5,4145,1,22:15:00,22:15:00,0,0
11,6,4154,0,05:55:00,05:55:00,0,0
12,6,4145,1,06:00:00,06:00:00,0,0
13,7,4154,0,10:40:00,10:40:00,0,0
14,7,4145,1,10:46:00,10:46:00,0,0
15,8,4154,0,10:40:00,10:40:00,0,0
16,8,4145,1,10:45:00,10:45:00,0,0
17,9,4154,0,10:15:00,10:15:00,0,0
18,9,4145,1,10:21:00,10:21:00,0,0
19,10,4154,0,10:18:00,10:18:00,0,0
20,10,4145,1,10:23:00,10:23:00,0,0
21,11,4154,0,13:22:00,13:22:00,0,0
22,11,4145,1,13:27:00,13:27:00,0,0
23,12,4154,0,16:02:00,16:02:00,0,0
24,12,4145,1,16:09:00,16:09:00,0,0
25,13,4154,0,07:29:00,07:29:00,0,0
26,13,4145,1,07:34:00,07:34:00,0,0
27,14,4154,0,09:02:00,09:02:00,0,0
28,14,4145,1,09:07:00,09:07:00,0,0
29,15,4154,0,09:06:00,09:06:00,0,0
30,15,4145,1,09:11:00,09:11:00,0,0
31,16,4154,0,09:08:00,09:08:00,0,0
32,16,4145,1,09:13:00,09:13:00,0,0
33,17,4154,0,09:11:00,09:11:00,0,0
34,17,4145,1,09:16:00,09:16:00,0,0
35,18,4154,0,11:10:00,11:10:00,0,0
36,18,4145,1,11:16:00,11:16:00,0,0
37,19,4154,0,11:10:00,11:10:00,0,0
38,19,4145,1,11:15:00,11:15:00,0,0
39,20,4154,0,19:42:00,19:42:00,0,0
40,20,4145,1,19:47:00,19:47:00,0,0
41,21,4154,0,19:45:00,19:45:00,0,0
42,21,4145,1,19:50:00,19:50:00,0,0
43,22,4154,0,20:40:00,20:40:00,0,0
44,22,4145,1,20:46:00,20:46:00,0,0
45,23,4154,0,23:25:00,23:25:00,0,0
46,23,4145,1,23:30:00,23:30:00,0,0
47,24,4154,0,15:21:00,15:21:00,0,0
48,24,4145,1,15:26:00,15:26:00,0,0
49,25,4154,0,21:07:00,21:07:00,0,0
50,25,4145,1,21:12:00,21:12:00,0,0
51,26,4145,0,14:17:00,14:17:00,0,0
52,26,4154,1,14:23:00,14:23:00,0,0
53,27,4145,0,14:18:00,14:18:00,0,0
54,27,4154,1,14:23:00,14:23:00,0,0
55,28,4145,0,07:15:00,07:15:00,0,0
56,28,4154,1,07:20:00,07:20:00,0,0
57,29,4145,0,08:30:00,08:30:00,0,0
58,29,4154,1,08:35:00,08:35:00,0,0
59,30,4145,0,12:10:00,12:10:00,0,0
60,30,4154,1,12:15:00,12:15:00,0,0
61,31,4145,0,12:09:00,12:09:00,0,0
62,31,4154,1,12:14:00,12:14:00,0,0
63,32,4145,0,12:12:00,12:12:00,0,0
64,32,4154,1,12:17:00,12:17:00,0,0
65,33,4145,0,16:54:00,16:54:00,0,0
66,33,4154,1,16:59:00,16:59:00,0,0
67,34,4145,0,17:09:00,17:09:00,0,0
68,34,4154,1,17:14:00,17:14:00,0,0
69,35,4145,0,21:55:00,21:55:00,0,0
70,35,4154,1,22:00:00,22:00:00,0,0
71,36,4145,0,21:57:00,21:57:00,0,0
72,36,4154,1,22:02:00,22:02:00,0,0
73,37,4145,0,05:42:00,05:42:00,0,0
74,37,4154,1,05:47:00,05:47:00,0,0
75,38,4145,0,18:10:00,18:10:00,0,0
76,38,4154,1,18:16:00,18:16:00,0,0
77,39,4145,0,18:22:00,18:22:00,0,0
78,39,4154,1,18:27:00,18:27:00,0,0
79,40,4145,0,18:10:00,18:10:00,0,0
80,40,4154,1,18:16:00,18:16:00,0,0
81,41,4145,0,18:19:00,18:19:00,0,0
82,41,4154,1,18:24:00,18:24:00,0,0
83,42,4145,0,13:10:00,13:10:00,0,0
84,42,4154,1,13:15:00,13:15:00,0,0
85,43,4145,0,15:41:00,15:41:00,0,0
86,43,4154,1,15:46:00,15:46:00,0,0
87,44,4145,0,19:24:00,19:24:00,0,0
88,44,4154,1,19:29:00,19:29:00,0,0
89,45,4145,0,10:51:00,10:51:00,0,0
90,45,4154,1,10:57:00,10:57:00,0,0
91,46,4145,0,10:50:00,10:50:00,0,0
92,46,4154,1,10:55:00,10:55:00,0,0
93,47,4145,0,20:29:00,20:29:00,0,0
94,47,4154,1,20:34:00,20:34:00,0,0
95,48,4145,0,22:39:00,22:39:00,0,0
96,48,4154,1,22:44:00,22:44:00,0,0
97,49,4145,0,15:07:00,15:07:00,0,0
98,49,4154,1,15:12:00,15:12:00,0,0
99,50,4145,0,06:09:00,06:09:00,0,0
100,50,4154,1,06:15:00,06:15:00,0,0
101,51,4154,0,20:14:00,20:14:00,0,0
102,51,4145,1,20:19:00,20:19:00,0,0
103,52,4154,0,19:07:00,19:07:00,0,0
104,52,4145,1,19:12:00,19:12:00,0,0
105,53,4154,0,08:04:00,08:04:00,0,0
106,53,4145,1,08:09:00,08:09:00,0,0
107,54,4154,0,08:08:00,08:08:00,0,0
108,54,4145,1,08:13:00,08:13:00,0,0
109,55,4154,0,14:57:00,14:57:00,0,0
110,55,4145,1,15:02:00,15:02:00,0,0
111,56,4154,0,06:29:00,06:29:00,0,0
112,56,4145,1,06:35:00,06:35:00,0,0
113,57,4154,0,14:29:00,14:29:00,0,0
114,57,4145,1,14:34:00,14:34:00,0,0
115,58,4154,0,21:40:00,21:40:00,0,0
116,58,4145,1,21:45:00,21:45:00,0,0
117,59,4154,0,18:11:00,18:11:00,0,0
118,59,4145,1,18:16:00,18:16:00,0,0
119,60,4154,0,18:08:00,18:08:00,0,0
120,60,4145,1,18:13:00,18:13:00,0,0
121,61,4154,0,11:40:00,11:40:00,0,0
122,61,4145,1,11:45:00,11:45:00,0,0
123,62,4154,0,12:55:00,12:55:00,0,0
124,62,4145,1,13:00:00,13:00:00,0,0
125,63,4154,0,12:50:00,12:50:00,0,0
126,63,4145,1,12:55:00,12:55:00,0,0
127,64,4145,0,09:54:00,09:54:00,0,0
128,64,4154,1,10:00:00,10:00:00,0,0
129,65,4145,0,09:57:00,09:57:00,0,0
130,65,4154,1,10:02:00,10:02:00,0,0
131,66,4145,0,09:55:00,09:55:00,0,0
132,66,4154,1,10:00:00,10:00:00,0,0
133,67,4145,0,09:54:00,09:54:00,0,0
134,67,4154,1,09:59:00,09:59:00,0,0
135,68,4145,0,19:57:00,19:57:00,0,0
136,68,4154,1,20:02:00,20:02:00,0,0
137,69,4145,0,07:44:00,07:44:00,0,0
138,69,4154,1,07:49:00,07:49:00,0,0
139,70,4145,0,14:41:00,14:41:00,0,0
140,70,4154,1,14:46:00,14:46:00,0,0
141,71,4145,0,06:17:00,06:17:00,0,0
142,71,4154,1,06:22:00,06:22:00,0,0
143,72,4145,0,21:20:00,21:20:00,0,0
144,72,4154,1,21:25:00,21:25:00,0,0
145,73,4145,0,10:26:00,10:26:00,0,0
146,73,4154,1,10:32:00,10:32:00,0,0
147,74,4145,0,10:28:00,10:28:00,0,0
148,74,4154,1,10:33:00,10:33:00,0,0
149,75,4145,0,17:36:00,17:36:00,0,0
150,75,4154,1,17:41:00,17:41:00,0,0
151,76,7129,0,09:16:00,09:16:00,0,0
152,76,6981,1,09:28:00,09:30:00,0,0
153,76,6989,2,09:38:00,09:39:00,0,0
154,76,6994,3,09:48:00,09:49:00,0,0
155,76,7221,4,10:03:00,10:05:00,0,0
156,76,7212,5,10:20:00,10:21:00,0,0
157,76,7197,6,10:34:00,10:35:00,0,0
158,76,6722,7,10:44:00,10:45:00,0,0
159,76,6718,8,10:53:00,10:54:00,0,0
160,76,6672,9,11:12:00,11:12:00,0,0
161,77,7129,0,11:16:00,11:16:00,0,0
162,77,6981,1,11:29:00,11:31:00,0,0
163,77,6989,2,11:39:00,11:40:00,0,0
164,77,6994,3,11:48:00,11:50:00,0,0
165,77,7221,4,12:03:00,12:05:00,0,0
166,77,7212,5,12:20:00,12:21:00,0,0
167,77,7197,6,12:34:00,12:35:00,0,0
168,77,6722,7,12:43:00,12:44:00,0,0
169,77,6718,8,12:52:00,12:53:00,0,0
170,77,6672,9,13:11:00,13:11:00,0,0
171,78,7129,0,11:16:00,11:16:00,0,0
172,78,6981,1,11:28:00,11:29:00,0,0
173,78,6989,2,11:38:00,11:39:00,0,0
174,78,6994,3,11:48:00,11:49:00,0,0
175,78,7221,4,12:03:00,12:05:00,0,0
176,78,7212,5,12:20:00,12:21:00,0,0
177,78,7197,6,12:34:00,12:35:00,0,0
178,78,6722,7,12:43:00,12:44:00,0,0
179,78,6718,8,12:52:00,12:53:00,0,0
180,78,6672,9,13:11:00,13:11:00,0,0
181,79,7129,0,13:16:00,13:16:00,0,0
182,79,6981,1,13:28:00,13:29:00,0,0
183,79,6989,2,13:38:00,13:39:00,0,0
184,79,6994,3,13:48:00,13:49:00,0,0
185,79,7221,4,14:03:00,14:05:00,0,0
186,79,7212,5,14:20:00,14:21:00,0,0
187,79,7197,6,14:34:00,14:35:00,0,0
188,79,6722,7,14:43:00,14:44:00,0,0
189,79,6718,8,14:52:00,14:53:00,0,0
190,79,6672,9,15:11:00,15:11:00,0,0
191,80,7129,0,13:16:00,13:16:00,0,0
192,80,6981,1,13:29:00,13:31:00,0,0
193,80,6989,2,13:39:00,13:40:00,0,0
194,80,6994,3,13:48:00,13:50:00,0,0
195,80,7221,4,14:03:00,14:05:00,0,0
196,80,7212,5,14:20:00,14:21:00,0,0
197,80,7197,6,14:34:00,14:35:00,0,0
198,80,6722,7,14:43:00,14:44:00,0,0
199,80,6718,8,14:52:00,14:53:00,0,0
200,80,6672,9,15:11:00,15:11:00,0,0
201,81,7129,0,13:16:00,13:16:00,0,0
202,81,6981,1,13:27:00,13:29:00,0,0
203,81,6989,2,13:39:00,13:40:00,0,0
204,81,6994,3,13:48:00,13:50:00,0,0
205,81,7221,4,14:03:00,14:05:00,0,0
206,81,7212,5,14:20:00,14:21:00,0,0
207,81,7197,6,14:34:00,14:35:00,0,0
208,81,6722,7,14:43:00,14:44:00,0,0
209,81,6718,8,14:52:00,14:53:00,0,0
210,81,6672,9,15:11:00,15:11:00,0,0
211,82,7129,0,15:16:00,15:16:00,0,0
212,82,6981,1,15:27:00,15:29:00,0,0
213,82,6989,2,15:38:00,15:40:00,0,0
214,82,6994,3,15:48:00,15:49:00,0,0
215,82,7221,4,16:03:00,16:05:00,0,0
216,82,7212,5,16:20:00,16:21:00,0,0
217,82,7197,6,16:34:00,16:35:00,0,0
218,82,6722,7,16:43:00,16:44:00,0,0
219,82,6718,8,16:52:00,16:53:00,0,0
220,82,6672,9,17:11:00,17:11:00,0,0
221,83,7129,0,15:16:00,15:16:00,0,0
222,83,6981,1,15:29:00,15:30:00,0,0
223,83,6989,2,15:38:00,15:40:00,0,0
224,83,6994,3,15:48:00,15:49:00,0,0
225,83,7221,4,16:03:00,16:05:00,0,0
226,83,7212,5,16:20:00,16:21:00,0,0
227,83,7197,6,16:34:00,16:35:00,0,0
228,83,6722,7,16:43:00,16:44:00,0,0
229,83,6718,8,16:52:00,16:53:00,0,0
230,83,6672,9,17:11:00,17:11:00,0,0
231,84,7129,0,15:16:00,15:16:00,0,0
232,84,6981,1,15:28:00,15:30:00,0,0
233,84,6989,2,15:38:00,15:40:00,0,0
234,84,6994,3,15:48:00,15:49:00,0,0
235,84,7221,4,16:03:00,16:05:00,0,0
236,84,7212,5,16:20:00,16:21:00,0,0
237,84,7197,6,16:34:00,16:35:00,0,0
238,84,6722,7,16:43:00,16:44:00,0,0
239,84,6718,8,16:52:00,16:53:00,0,0
240,84,6672,9,17:11:00,17:11:00,0,0
241,85,7129,0,15:16:00,15:16:00,0,0
242,85,6981,1,15:28:00,15:29:00,0,0
243,85,6989,2,15:38:00,15:39:00,0,0
244,85,6994,3,15:48:00,15:49:00,0,0
245,85,7221,4,16:03:00,16:05:00,0,0
246,85,7212,5,16:20:00,16:21:00,0,0
247,85,7197,6,16:34:00,16:35:00,0,0
248,85,6722,7,16:43:00,16:44:00,0,0
249,85,6718,8,16:52:00,16:53:00,0,0
