route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20261030,105241,0,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1739:20260713,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1738:20260827,105342,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20261129,105342,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20261130,105347,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20261130,105350,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20261007,105362,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20261130,105362,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1021:20261009,105375,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20261130,105375,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1327:20261130,105377,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1609:20261130,105378,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105431F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:734:20261129,105431,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:907:20261007,105432,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:911:20261129,105432,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:913:20261130,105432,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:916:20261128,105432,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1116:20261007,105437,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1115:20261130,105437,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1947:20260713,105442,1,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN105442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1950:20261129,105442,1,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN105451F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2046:20261129,105451,1,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN105455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2330:20261129,105455,1,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1526:20261130,105485,1,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN105750F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2112:20261130,105750,1,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN106306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1423:20261129,106306,0,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN106306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1423:20261130,106306,0,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN106330F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:720:20261130,106330,0,28,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN106331F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:835:20261130,106331,0,29,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000023,OCESN106340F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1215:20260829,106340,0,30,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN106340F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1214:20260830,106340,0,31,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000025,OCESN106340F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1217:20261128,106340,0,32,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000026,OCESN106342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1659:20260827,106342,0,33,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN106342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1714:20261128,106342,0,34,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000027,OCESN106347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2200:20260628,106347,0,35,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000028,OCESN106347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2202:20261130,106347,0,36,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN106350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:547:20261130,106350,0,37,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN106355F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1816:20260827,106355,0,38,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000029,OCESN106355F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1827:20261130,106355,0,39,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN106367F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1816:20260713,106367,0,40,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN106367F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1824:20261128,106367,0,41,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1315:20261130,106377,0,42,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1546:20261130,106378,0,43,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN106442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1929:20261129,106442,0,44,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1057:20261009,106445,0,45,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000031,OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1055:20261130,106445,0,46,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN106450F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2034:20261130,106450,0,47,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN106461F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2244:20261129,106461,0,48,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1512:20261130,106485,0,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000033,OCESN106600F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:615:20261130,106600,0,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN107241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2019:20261130,107241,1,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN107260F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1912:20261128,107260,1,52,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN107261F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:809:20260713,107261,1,53,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000034,OCESN107261F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:813:20261129,107261,1,54,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107284F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1502:20261130,107284,1,55,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN107300F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:635:20261130,107300,1,56,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1434:20261130,107306,1,57,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN107359F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2145:20261130,107359,1,58,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000035,OCESN107455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1816:20260705,107455,1,59,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000036,OCESN107455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1813:20261130,107455,1,60,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000037,OCESN107486F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1145:20261128,107486,1,61,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000035,OCESN107494F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1300:20260705,107494,1,62,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000038,OCESN107494F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1255:20261128,107494,1,63,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN108203F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1000:20261009,108203,0,64,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000039,OCESN108203F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1002:20261120,108203,0,65,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000040,OCESN108203F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1000:20260926,108203,0,66,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000041,OCESN108203F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:959:20261130,108203,0,67,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000042,OCESN108241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2002:20261129,108241,0,68,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN108260F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:749:20261129,108260,0,69,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108284F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1446:20261130,108284,0,70,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000043,OCESN108300F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:622:20261129,108300,0,71,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN108359F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2125:20261130,108359,0,72,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN108440F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1032:20261009,108440,0,73,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN108440F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1033:20261130,108440,0,74,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000044,OCESN108444F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1741:20261129,108444,0,75,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000045,OCESN117756F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1112:20260714,117756,1,76,
